         1454607 function calls (1304232 primitive calls) in 56.322 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.124    0.124   38.664   38.664 C:\Users\PC\source\repos\NCKH-2025\SmartLock_FaceRecognition\PyCharm\src\Recognize.py:180(load_known_faces)
       37    0.001    0.000   29.844    0.807 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\requests\sessions.py:500(request)
       37    0.002    0.000   29.746    0.804 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\requests\sessions.py:673(send)
     2589    0.011    0.000   26.471    0.010 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\socket.py:693(readinto)
     2589    0.011    0.000   26.449    0.010 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\ssl.py:1238(recv_into)
     2589    0.007    0.000   26.435    0.010 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\ssl.py:1096(read)
     2589   26.428    0.010   26.428    0.010 {method 'read' of '_ssl._SSLSocket' objects}
       34    0.000    0.000   26.271    0.773 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\api_core\retry\retry_unary.py:286(retry_wrapped_func)
       34    0.001    0.000   26.271    0.773 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\api_core\retry\retry_unary.py:85(retry_target)
       34    0.001    0.000   26.032    0.766 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\auth\transport\requests.py:480(request)
       37    0.001    0.000   22.863    0.618 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\requests\adapters.py:590(send)
       37    0.002    0.000   22.833    0.617 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\urllib3\connectionpool.py:535(urlopen)
       37    0.001    0.000   22.786    0.616 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\urllib3\connectionpool.py:379(_make_request)
       37    0.000    0.000   19.491    0.527 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\http\client.py:1367(getresponse)
       37    0.001    0.000   19.490    0.527 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\http\client.py:317(begin)
       37    0.001    0.000   19.454    0.526 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\http\client.py:284(_read_status)
      734    0.001    0.000   19.454    0.027 {method 'readline' of '_io.BufferedReader' objects}
       28    0.001    0.000   16.036    0.573 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\cloud\storage\blob.py:1272(download_to_filename)
       28    0.001    0.000   16.034    0.573 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\cloud\storage\blob.py:1245(_handle_filename_and_download)
       28    0.002    0.000   15.970    0.570 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\cloud\storage\blob.py:4196(_prep_and_do_download)
       28    0.001    0.000   15.964    0.570 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\cloud\storage\blob.py:978(_do_download)
       28    0.000    0.000   15.952    0.570 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\cloud\storage\_media\requests\download.py:152(consume)
       28    0.000    0.000   15.947    0.570 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\cloud\storage\_media\requests\_request_helpers.py:93(wait_and_retry)
       28    0.001    0.000   15.944    0.569 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\cloud\storage\_media\requests\download.py:200(retriable_request)
66624/243    0.112    0.000   11.188    0.046 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\module.py:1507(_wrapped_call_impl)
66624/243    0.206    0.000   11.187    0.046 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\module.py:1513(_call_impl)
     4014    0.006    0.000   10.404    0.003 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\api_core\page_iterator.py:206(_items_iter)
        8    0.000    0.000   10.326    1.291 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\api_core\page_iterator.py:232(_page_iter)
