         393551 function calls (382942 primitive calls) in 24.263 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  159/157   13.948    0.088   16.267    0.104 {built-in method time.sleep}
        1    0.185    0.185   14.481   14.481 C:\Users\PC\source\repos\NCKH-2025\SmartLock_FaceRecognition\PyCharm\src\Recognize.py:95(send_serial_command)
    21/20    0.002    0.000    7.526    0.376 {method 'readline' of '_io._IOBase' objects}
        4    0.000    0.000    5.841    1.460 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\requests\sessions.py:500(request)
        4    0.000    0.000    5.831    1.458 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\requests\sessions.py:673(send)
        4    0.000    0.000    5.603    1.401 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\requests\adapters.py:590(send)
        4    0.000    0.000    5.598    1.399 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\urllib3\connectionpool.py:535(urlopen)
        4    0.000    0.000    5.591    1.398 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\urllib3\connectionpool.py:379(_make_request)
        1    0.000    0.000    5.031    5.031 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\pyttsx3\engine.py:168(runAndWait)
        1    0.000    0.000    5.031    5.031 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\pyttsx3\driver.py:186(runAndWait)
        1    0.000    0.000    5.031    5.031 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\pyttsx3\drivers\sapi5.py:120(startLoop)
      4/2    0.000    0.000    4.974    2.487 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\pyttsx3\driver.py:108(setBusy)
        7    0.000    0.000    4.974    0.711 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\pyttsx3\driver.py:81(_pump)
      517    4.213    0.008    4.217    0.008 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\serial\serialwin32.py:262(read)
        2    0.000    0.000    4.081    2.040 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\requests\api.py:14(request)
        1    0.000    0.000    2.953    2.953 C:\Users\PC\source\repos\NCKH-2025\SmartLock_FaceRecognition\PyCharm\src\Recognize.py:300(send_telegram_message_with_photo)
        1    0.000    0.000    2.952    2.952 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\requests\api.py:103(post)
