         313289 function calls (304066 primitive calls) in 4.792 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    3.516    0.879 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\requests\sessions.py:500(request)
        4    0.000    0.000    3.510    0.877 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\requests\sessions.py:673(send)
        4    0.000    0.000    3.508    0.877 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\requests\adapters.py:590(send)
        4    0.000    0.000    3.504    0.876 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\urllib3\connectionpool.py:535(urlopen)
        4    0.000    0.000    3.501    0.875 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\urllib3\connectionpool.py:379(_make_request)
        1    0.000    0.000    3.270    3.270 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\threading.py:995(_bootstrap)
        2    0.000    0.000    2.498    1.249 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\api_core\page_iterator.py:206(_items_iter)
        4    0.000    0.000    2.498    0.624 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\api_core\page_iterator.py:232(_page_iter)
        4    0.000    0.000    2.498    0.624 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\api_core\page_iterator.py:365(_next_page)
        2    0.000    0.000    2.498    1.249 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\api_core\page_iterator.py:421(_get_next_page_response)
        2    0.000    0.000    2.498    1.249 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\cloud\storage\_http.py:67(api_request)
        2    0.000    0.000    2.497    1.249 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\api_core\retry\retry_unary.py:286(retry_wrapped_func)
        2    0.000    0.000    2.497    1.249 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\api_core\retry\retry_unary.py:85(retry_target)
        2    0.000    0.000    2.497    1.249 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\cloud\_http\__init__.py:383(api_request)
        2    0.000    0.000    2.496    1.248 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\cloud\_http\__init__.py:276(_make_request)
        2    0.000    0.000    2.496    1.248 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\cloud\_http\__init__.py:345(_do_request)
        2    0.000    0.000    2.496    1.248 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\auth\transport\requests.py:480(request)
        1    0.000    0.000    2.260    2.260 c:\Users\PC\source\repos\NCKH-2025\SmartLock_FaceRecognition\PyCharm\src\Recognize.py:208(<genexpr>)
        4    0.000    0.000    1.948    0.487 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\urllib3\connectionpool.py:1053(_validate_conn)
        3    0.000    0.000    1.948    0.649 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\urllib3\connection.py:361(connect)
       27    1.903    0.070    1.903    0.070 {built-in method time.sleep}
        3    0.000    0.000    1.649    0.550 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\urllib3\util\ssl_.py:364(ssl_wrap_socket)
        4    0.000    0.000    1.552    0.388 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\http\client.py:1367(getresponse)
        4    0.000    0.000    1.552    0.388 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\http\client.py:317(begin)
        4    0.000    0.000    1.549    0.387 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\http\client.py:284(_read_status)
       67    0.000    0.000    1.549    0.023 {method 'readline' of '_io.BufferedReader' objects}
        6    0.000    0.000    1.549    0.258 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\socket.py:693(readinto)
        6    0.000    0.000    1.549    0.258 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\ssl.py:1238(recv_into)
        6    0.000    0.000    1.549    0.258 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\ssl.py:1096(read)
        1    0.000    0.000    1.023    1.023 c:\Users\PC\source\repos\NCKH-2025\SmartLock_FaceRecognition\PyCharm\src\Recognize.py:158(verify_telegram_token)
        1    0.000    0.000    1.023    1.023 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\requests\api.py:62(get)
        1    0.000    0.000    1.023    1.023 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\requests\api.py:14(request)
      2/1    0.004    0.002    0.941    0.941 c:\Users\PC\source\repos\NCKH-2025\SmartLock_FaceRecognition\PyCharm\src\Recognize.py:198(load_known_faces)
        2    0.000    0.000    0.648    0.324 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\auth\credentials.py:219(before_request)
        2    0.000    0.000    0.648    0.324 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\auth\credentials.py:200(_blocking_refresh)
        1    0.000    0.000    0.648    0.648 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\oauth2\service_account.py:427(refresh)
        1    0.000    0.000    0.646    0.646 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\oauth2\_client.py:274(jwt_grant)
        1    0.000    0.000    0.646    0.646 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\oauth2\_client.py:220(_token_endpoint_request)
        1    0.000    0.000    0.646    0.646 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\oauth2\_client.py:136(_token_endpoint_request_no_throw)
        1    0.000    0.000    0.646    0.646 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\auth\transport\requests.py:156(__call__)
        3    0.519    0.173    0.519    0.173 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        1    0.000    0.000    0.427    0.427 c:\Users\PC\source\repos\NCKH-2025\SmartLock_FaceRecognition\PyCharm\src\Recognize.py:135(init_tts_engine)
        1    0.000    0.000    0.424    0.424 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\pyttsx3\__init__.py:6(init)
        1    0.000    0.000    0.424    0.424 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\pyttsx3\engine.py:20(__init__)
        1    0.000    0.000    0.424    0.424 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\pyttsx3\driver.py:28(__init__)
        6    0.384    0.064    0.384    0.064 {method 'read' of '_ssl._SSLSocket' objects}
     65/9    0.001    0.000    0.335    0.037 <frozen importlib._bootstrap>:1343(_find_and_load)
     58/2    0.000    0.000    0.335    0.168 <frozen importlib._bootstrap>:1298(_find_and_load_unlocked)
        8    0.000    0.000    0.334    0.042 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\importlib\__init__.py:73(import_module)
      9/8    0.000    0.000    0.334    0.042 <frozen importlib._bootstrap>:1369(_gcd_import)
     58/3    0.000    0.000    0.334    0.111 <frozen importlib._bootstrap>:905(_load_unlocked)
     57/3    0.000    0.000    0.333    0.111 <frozen importlib._bootstrap_external>:988(exec_module)
    138/5    0.000    0.000    0.333    0.067 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     58/3    0.001    0.000    0.331    0.110 {built-in method builtins.exec}
        1    0.000    0.000    0.329    0.329 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\pyttsx3\drivers\sapi5.py:1(<module>)
        1    0.001    0.001    0.307    0.307 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\facenet_pytorch\models\inception_resnet_v1.py:202(__init__)
        1    0.000    0.000    0.306    0.306 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\facenet_pytorch\models\inception_resnet_v1.py:305(load_weights)
      153    0.002    0.000    0.297    0.002 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\init.py:406(kaiming_uniform_)
     18/6    0.000    0.000    0.295    0.049 {built-in method builtins.__import__}
        3    0.000    0.000    0.292    0.097 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\urllib3\util\ssl_.py:490(_ssl_wrap_socket_impl)
        3    0.000    0.000    0.292    0.097 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\ssl.py:449(wrap_socket)
        3    0.000    0.000    0.292    0.097 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\ssl.py:956(_create)
        3    0.000    0.000    0.292    0.097 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\ssl.py:1310(do_handshake)
        3    0.000    0.000    0.292    0.097 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\urllib3\connection.py:161(_new_conn)
        3    0.000    0.000    0.292    0.097 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\urllib3\util\connection.py:37(create_connection)
        3    0.282    0.094    0.282    0.094 {method 'connect' of '_socket.socket' objects}
      194    0.275    0.001    0.275    0.001 {method 'uniform_' of 'torch._C.TensorBase' objects}
      144    0.001    0.000    0.263    0.002 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\conv.py:428(__init__)
      144    0.003    0.000    0.259    0.002 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\conv.py:70(__init__)
   227/66    0.000    0.000    0.243    0.004 <frozen importlib._bootstrap>:1384(_handle_fromlist)
      144    0.001    0.000    0.233    0.002 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\conv.py:143(reset_parameters)
      111    0.001    0.000    0.225    0.002 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\facenet_pytorch\models\inception_resnet_v1.py:14(__init__)
        3    0.217    0.072    0.217    0.072 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        4    0.001    0.000    0.216    0.054 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\serialization.py:866(load)
        1    0.001    0.001    0.204    0.204 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\comtypes\gen\SpeechLib.py:1(<module>)
      323    0.188    0.001    0.191    0.001 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\serial\serialwin32.py:262(read)
      766    0.176    0.000    0.176    0.000 {method '_set_from_file' of 'torch._C.StorageBase' objects}
        4    0.002    0.000    0.176    0.044 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\serialization.py:1060(_legacy_load)
        1    0.003    0.003    0.128    0.128 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\comtypes\gen\_C866CA3A_32F7_11D2_9602_00C04F8EE628_0_5_4.py:1(<module>)
        6    0.000    0.000    0.127    0.021 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\facenet_pytorch\models\inception_resnet_v1.py:100(__init__)
 1084/832    0.014    0.000    0.124    0.000 {built-in method builtins.__build_class__}
        4    0.000    0.000    0.101    0.025 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\module.py:2067(load_state_dict)
    593/4    0.014    0.000    0.101    0.025 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\module.py:2117(load)
 2050/322    0.002    0.000    0.100    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\comtypes\_post_coinit\unknwn.py:139(__setattr__)
      120    0.004    0.000    0.097    0.001 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\comtypes\_post_coinit\unknwn.py:215(_make_methods)
       10    0.003    0.000    0.092    0.009 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\facenet_pytorch\models\inception_resnet_v1.py:72(__init__)
        1    0.000    0.000    0.090    0.090 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\pyttsx3\drivers\sapi5.py:29(buildDriver)
        1    0.000    0.000    0.090    0.090 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\pyttsx3\drivers\sapi5.py:34(__init__)
      798    0.004    0.000    0.086    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\comtypes\_memberspec.py:483(add)
      593    0.016    0.000    0.078    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\module.py:1953(_load_from_state_dict)
      810    0.070    0.000    0.077    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\ctypes\__init__.py:114(WINFUNCTYPE)
        9    0.000    0.000    0.068    0.008 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\linear.py:92(__init__)
        9    0.000    0.000    0.067    0.007 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\linear.py:105(reset_parameters)
        2    0.064    0.032    0.066    0.033 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\pyttsx3\drivers\sapi5.py:86(getProperty)
        1    0.000    0.000    0.064    0.064 c:\Users\PC\source\repos\NCKH-2025\SmartLock_FaceRecognition\PyCharm\src\Recognize.py:71(init_serial)
        1    0.000    0.000    0.064    0.064 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\serial\serialwin32.py:29(__init__)
        1    0.000    0.000    0.064    0.064 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\serial\serialutil.py:180(__init__)
        1    0.063    0.063    0.064    0.064 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\serial\serialwin32.py:35(open)
        1    0.000    0.000    0.060    0.060 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\comtypes\__init__.py:1(<module>)
       57    0.001    0.000    0.054    0.001 <frozen importlib._bootstrap_external>:1061(get_code)
      111    0.006    0.000    0.053    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\enum.py:515(__new__)
      766    0.048    0.000    0.048    0.000 {method 'copy_' of 'torch._C.TensorBase' objects}
5056/4265    0.014    0.000    0.045    0.000 {built-in method __new__ of type object at 0x00007FF8216813D0}
        1    0.000    0.000    0.041    0.041 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\comtypes\client\__init__.py:1(<module>)
        1    0.000    0.000    0.041    0.041 c:\Users\PC\source\repos\NCKH-2025\SmartLock_FaceRecognition\PyCharm\src\Recognize.py:173(initialize_firebase)
        1    0.000    0.000    0.040    0.040 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\firebase_admin\credentials.py:81(__init__)
        1    0.000    0.000    0.040    0.040 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\oauth2\service_account.py:227(from_service_account_info)
        1    0.000    0.000    0.039    0.039 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\auth\_service_account_info.py:24(from_dict)
        1    0.000    0.000    0.039    0.039 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\auth\crypt\base.py:89(from_service_account_info)
        1    0.000    0.000    0.039    0.039 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\auth\crypt\_cryptography_rsa.py:114(from_string)
        1    0.039    0.039    0.039    0.039 {built-in method keys.load_pem_private_key}
        1    0.000    0.000    0.037    0.037 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\facenet_pytorch\models\inception_resnet_v1.py:154(__init__)
       57    0.000    0.000    0.037    0.001 <frozen importlib._bootstrap_external>:1182(get_data)
        4    0.004    0.001    0.032    0.008 {method 'load' of '_pickle.Unpickler' objects}
      791    0.015    0.000    0.031    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\enum.py:249(__set_name__)
       57    0.031    0.001    0.031    0.001 {built-in method _io.open_code}
      112    0.000    0.000    0.030    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\batchnorm.py:126(__init__)
      112    0.003    0.000    0.030    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\batchnorm.py:30(__init__)
        1    0.000    0.000    0.030    0.030 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\comtypes\client\_events.py:1(<module>)
     3892    0.012    0.000    0.030    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\module.py:1690(__setattr__)
       10    0.001    0.000    0.026    0.003 {method 'readline' of '_io._IOBase' objects}
        1    0.000    0.000    0.025    0.025 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\comtypes\client\_generate.py:1(<module>)
        1    0.000    0.000    0.024    0.024 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\facenet_pytorch\models\inception_resnet_v1.py:131(__init__)
        1    0.000    0.000    0.024    0.024 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\facenet_pytorch\models\mtcnn.py:197(__init__)
       59    0.000    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1487(_get_spec)
       58    0.001    0.000    0.023    0.000 <frozen importlib._bootstrap>:1234(_find_spec)
       88    0.002    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:1589(find_spec)
       58    0.000    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:1516(find_spec)
  751/745    0.002    0.000    0.021    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\comtypes\_memberspec.py:204(COMMETHOD)
        1    0.000    0.000    0.020    0.020 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\comtypes\tools\codegenerator\__init__.py:1(<module>)
